"animal_id","year_cap","event","wyey","dmp_pasture","birth_site","birth_year"
"270-2008-1-012",2016,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-012",2017,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-013",2008,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-013",2009,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-013",2010,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-013",2011,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-013",2012,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-013",2013,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-013",2014,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-013",2015,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-013",2016,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-013",2017,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-014",2008,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-014",2009,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-014",2010,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-014",2011,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-014",2012,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-014",2013,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-014",2014,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-014",2015,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-014",2016,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-016",2008,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-017",2008,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-017",2009,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-017",2010,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-017",2011,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-017",2012,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-017",2013,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-017",2014,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-017",2015,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-017",2016,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-017",2017,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-017",2018,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-017",2019,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-018",2008,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-018",2009,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-018",2010,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-018",2012,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-018",2013,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-018",2015,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-018",2016,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-018",2017,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-018",2018,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-019",2008,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-019",2009,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-019",2010,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-019",2011,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-019",2012,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-019",2013,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-019",2014,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-020",2008,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-022",2008,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-022",2009,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-022",2010,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-022",2011,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-022",2012,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-022",2013,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-022",2014,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-022",2015,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-022",2016,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-025",2008,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-027",2008,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-028",2008,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-028",2009,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-028",2010,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-028",2011,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-028",2012,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-028",2013,1,"west yana","dmp","west yana_dmp",2008
"270-2008-1-028",2014,1,"west yana","dmp","west yana_dmp",2008
"270-2009-1-002",2009,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-002",2010,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-002",2011,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-002",2012,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-002",2013,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-002",2014,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-002",2015,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-002",2016,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-002",2017,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-002",2018,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-005",2009,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-008",2009,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-009",2009,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-009",2010,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-009",2011,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-009",2012,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-009",2013,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-009",2014,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-009",2015,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-009",2016,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-009",2017,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-009",2018,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-009",2019,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-009",2020,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-010",2009,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-010",2010,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-010",2011,1,"west yana","dmp","west yana_dmp",2009
"270-2009-1-010",2012,1,"west yana","dmp","west yana_dmp",2009
