"animal_id","2008","2009","2010","2011","2012","2013","2014","2016","2015","2017","2019","2018","2020","2021","2022","birth_year","bs"
"270-2009-1-009","0","0","1","1","1","1","1","1","1","1","1","1","1","0","0","2009","dmp"
"270-2009-1-010","0","0","1","1","1","1","2","0","0","0","0","0","0","0","0","2009","dmp"
"270-2009-1-011","0","0","1","1","1","1","1","0","2","0","0","0","0","0","0","2009","dmp"
"270-2009-1-012","0","0","1","1","1","1","1","1","1","1","0","0","0","0","0","2009","dmp"
"270-2009-1-013","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2009","dmp"
"270-2009-1-020","0","0","1","1","1","1","1","0","1","0","0","0","0","0","0","2009","dmp"
"270-2009-1-021","0","0","1","1","1","1","1","1","1","0","0","0","0","0","0","2009","dmp"
"270-2009-1-023","0","0","1","1","1","1","1","1","1","1","0","0","0","0","0","2009","dmp"
"270-2009-1-024","0","0","1","1","1","1","1","1","1","1","1","1","1","0","0","2009","dmp"
"270-2009-1-033","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","2009","dmp"
"270-2009-1-038","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","2009","dmp"
"270-2010-1-001","0","0","0","1","1","1","1","1","1","1","1","1","1","0","0","2010","dmp"
"270-2010-1-003","0","0","0","1","1","1","1","1","1","1","0","0","0","0","0","2010","dmp"
"270-2010-1-004","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","2010","dmp"
"270-2010-1-005","0","0","0","1","1","1","1","1","1","1","1","1","1","0","0","2010","dmp"
"270-2010-1-006","0","0","0","1","1","1","1","1","1","1","1","1","0","0","0","2010","dmp"
"270-2010-1-007","0","0","0","0","1","1","1","1","1","1","1","1","1","1","0","2010","dmp"
"270-2010-1-009","0","0","0","1","1","1","0","1","1","1","1","1","1","1","0","2010","dmp"
"270-2010-1-010","0","0","0","1","1","1","1","1","1","1","1","1","1","0","0","2010","dmp"
"270-2010-1-013","0","0","0","1","0","0","0","1","0","1","2","1","0","0","0","2010","dmp"
"270-2010-1-014","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","2010","dmp"
"270-2010-1-019","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","2010","dmp"
"270-2010-1-021","0","0","0","1","1","1","1","1","1","1","1","1","1","1","0","2010","dmp"
"270-2010-1-023","0","0","0","1","0","0","0","1","0","1","1","1","1","0","0","2010","dmp"
"270-2010-1-025","0","0","0","1","0","0","0","1","0","1","1","1","0","0","0","2010","dmp"
"270-2010-1-027","0","0","0","1","1","1","1","1","1","1","0","1","0","0","0","2010","dmp"
"270-2010-1-028","0","0","0","1","1","1","1","1","1","1","1","1","1","0","0","2010","dmp"
"270-2010-1-038","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","2010","dmp"
"270-2010-1-039","0","0","0","1","1","1","1","1","1","1","0","0","0","0","0","2010","dmp"
"270-2010-1-086","0","0","0","1","1","1","0","1","1","1","0","1","1","0","0","2010","dmp"
"270-2010-1-087","0","0","0","1","0","0","0","1","0","1","1","1","1","0","0","2010","dmp"
"270-2011-0-335","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","2011","wy"
"270-2011-0-336","0","0","0","0","1","1","1","1","1","1","1","1","1","1","2","2011","wy"
"270-2011-0-337","0","0","0","0","1","1","1","1","1","1","1","1","1","1","0","2011","wy"
"270-2011-0-338","0","0","0","0","1","1","1","1","1","1","1","1","0","0","0","2011","wy"
"270-2011-0-339","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","2011","wy"
"270-2011-0-340","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","2011","wy"
"270-2011-0-341","0","0","0","0","1","1","1","1","0","1","0","1","1","0","2","2011","wy"
"270-2011-0-342","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","2011","wy"
"270-2011-0-343","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","2011","wy"
"270-2011-0-344","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2011","wy"
