"year","month","avgtemp","maxtemp","maxtempC","avgtempC"
"2010","07",84.3,93.7,34.2777777777778,29.0555555555556
"2010","08",87.7,100.9,38.2777777777778,30.9444444444444
"2010","09",81.4,91.3,32.9444444444444,27.4444444444444
"2010","10",71.8,87.3,30.7222222222222,22.1111111111111
"2010","11",63.9,79.5,26.3888888888889,17.7222222222222
"2010","12",55,71.3,21.8333333333333,12.7777777777778
"2011","01",52.6,64.7,18.1666666666667,11.4444444444444
"2011","02",58,72.6,22.5555555555556,14.4444444444444
"2011","03",71,85.2,29.5555555555556,21.6666666666667
"2011","04",78.7,95.1,35.0555555555556,25.9444444444444
"2011","05",81.7,95.2,35.1111111111111,27.6111111111111
"2011","06",87.2,101.3,38.5,30.6666666666667
"2011","07",88.7,102,38.8888888888889,31.5
"2011","08",90.2,104.1,40.0555555555556,32.3333333333333
"2011","09",84.6,99.3,37.3888888888889,29.2222222222222
"2011","10",73,86.8,30.4444444444444,22.7777777777778
"2011","11",63.5,77.6,25.3333333333333,17.5
"2011","12",53.8,63.5,17.5,12.1111111111111
"2012","01",55.9,70.2,21.2222222222222,13.2777777777778
"2012","02",58.7,68.1,20.0555555555556,14.8333333333333
"2012","03",69.7,82.1,27.8333333333333,20.9444444444444
"2012","04",76.4,91,32.7777777777778,24.6666666666667
"2012","05",80.2,91.7,33.1666666666667,26.7777777777778
"2012","06",86.6,99.6,37.5555555555556,30.3333333333333
"2012","07",86.7,98.8,37.1111111111111,30.3888888888889
"2012","08",88.2,101.3,38.5,31.2222222222222
"2012","09",81.8,94.5,34.7222222222222,27.6666666666667
"2012","10",74.3,85.5,29.7222222222222,23.5
"2012","11",65.8,77.2,25.1111111111111,18.7777777777778
"2012","12",58.4,72.4,22.4444444444444,14.6666666666667
"2013","01",56.3,67.8,19.8888888888889,13.5
"2013","02",61.4,74.6,23.6666666666667,16.3333333333333
"2013","03",66.5,81.2,27.3333333333333,19.1666666666667
"2013","04",71.5,84.6,29.2222222222222,21.9444444444444
"2013","05",79.2,90.6,32.5555555555556,26.2222222222222
"2013","06",85.1,96.7,35.9444444444444,29.5
"2013","07",85.5,97,36.1111111111111,29.7222222222222
"2013","08",87.3,100.2,37.8888888888889,30.7222222222222
"2013","09",81.7,92.5,33.6111111111111,27.6111111111111
"2013","10",74,85,29.4444444444444,23.3333333333333
"2013","11",60.2,70.3,21.2777777777778,15.6666666666667
"2013","12",52.1,63.1,17.2777777777778,11.1666666666667
"2014","01",50,64.1,17.8333333333333,10
"2014","02",57.2,69.6,20.8888888888889,14
"2014","03",62.3,74.2,23.4444444444444,16.8333333333333
"2014","04",72.5,86.5,30.2777777777778,22.5
"2014","05",77,89.6,32,25
"2014","06",85.4,96.1,35.6111111111111,29.6666666666667
"2014","07",86,97.7,36.5,30
"2014","08",87.9,100.6,38.1111111111111,31.0555555555556
