"zero_indices","animal_id","birth_year","bs","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
FALSE,"270-2010-1-087",2010,"dmp",0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0
FALSE,"270-2010-1-088",2010,"dmp",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2010-1-089",2010,"dmp",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2011-0-335",2011,"wy",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
FALSE,"270-2011-0-336",2011,"wy",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2
FALSE,"270-2011-0-337",2011,"wy",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
FALSE,"270-2011-0-338",2011,"wy",0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
FALSE,"270-2011-0-339",2011,"wy",0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
FALSE,"270-2011-0-340",2011,"wy",0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
FALSE,"270-2011-0-341",2011,"wy",0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,2
FALSE,"270-2011-0-342",2011,"wy",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
FALSE,"270-2011-0-343",2011,"wy",0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
FALSE,"270-2011-0-344",2011,"wy",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2011-0-345",2011,"wy",0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
FALSE,"270-2011-1-202",2011,"dmp",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2011-1-206",2011,"dmp",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2011-1-209",2011,"dmp",0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
FALSE,"270-2011-1-213",2011,"dmp",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2
FALSE,"270-2011-1-215",2011,"dmp",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
FALSE,"270-2011-1-224",2011,"dmp",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2011-1-225",2011,"dmp",0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0
