"animal_id","date","year_cap","year_birth","cap_loc","rel_loc","sex","age","weight","dmp_past","B.C.Score","month","monthday","early.late"
"270-2011-1-248",2011-07-11,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-11",1
"270-2011-1-249",2011-07-11,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-11",1
"270-2011-1-250",2011-07-11,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-11",1
"270-2011-1-260",2011-07-13,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-13",1
"270-2011-1-261",2011-07-13,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-13",1
"270-2011-1-266",2011-07-14,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-14",1
"270-2011-1-268",2011-07-15,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-15",1
"270-2011-1-269",2011-07-15,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-15",1
"270-2011-1-295",2011-07-21,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-21",1
"270-2011-1-300",2011-07-25,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-25",1
"270-2011-1-318",2011-08-03,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-03",2
"270-2011-1-321",2011-08-03,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-03",2
"270-2011-1-322",2011-08-03,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-03",2
"270-2011-1-333",2011-08-12,2011,2011,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-12",2
"270-2012-1-207",2012-07-05,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-05",1
"270-2012-1-208",2012-07-05,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-05",1
"270-2012-1-224",2012-07-12,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-12",1
"270-2012-1-228",2012-07-12,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-12",1
"270-2012-1-229",2012-07-12,2012,2012,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-12",1
