p2.5,site
0.881220273,1
0.881242533,1
0.881314506,1
0.881345409,1
0.881347567,1
0.881378026,1
0.881342191,1
0.881394796,1
0.881426579,1
0.881444567,1
0.881449816,1
0.881477971,1
0.88149357,1
0.881467821,1
0.881441944,1
0.881421536,1
0.881385416,1
0.881365692,1
0.881340525,1
0.881303771,1
0.881279887,1
0.881251274,1
0.881259887,1
0.881208098,1
0.881165398,1
0.881137354,1
0.881109578,1
0.881081795,1
0.881068269,1
0.88107594,1
0.881082807,1
0.881037418,1
0.88103154,1
0.881076466,1
0.881026982,1
0.881013776,1
0.881007074,1
0.881002113,1
0.881018148,1
0.880997854,1
0.880984454,1
0.880977659,1
0.880979381,1
0.880985787,1
0.881008606,1
0.881004492,1
0.880981323,1
0.880943143,1
0.880937078,1
0.880958156,1
0.880937304,1
0.880919196,1
0.880897458,1
0.880878034,1
0.880863047,1
0.880877237,1
0.880811014,1
0.880723878,1
0.880636009,1
0.880578802,1
0.880625438,1
0.880652823,1
0.88055694,1
0.880584527,1
0.880549783,1
0.880517087,1
0.880461242,1
0.880441802,1
0.880376134,1
0.88034366,1
0.880306346,1
0.880250663,1
0.880216714,1
0.880224138,1
0.880180325,1
0.880194221,1
0.880135678,1
0.880115399,1
0.880110466,1
0.880123754,1
0.88013704,1
0.880150736,1
0.880164661,1
0.880149564,1
0.880148842,1
0.880136488,1
0.880150999,1
0.88010027,1
0.880092425,1
0.880100175,1
0.880101947,1
0.880104993,1
0.88011007,1
0.880116746,1
0.880076597,1
0.880000839,1
0.880000264,1
0.879857157,1
0.879832197,1
0.879845223,1
0.879859522,1
0.879846076,1
0.879767802,1
0.879689483,1
0.879611119,1
0.879556929,1
0.879531743,1
0.879420339,1
0.879342943,1
0.87928967,1
0.879186902,1
0.879084059,1
0.878981141,1
0.878890904,1
0.878849589,1
0.87879449,1
0.878716359,1
0.878697656,1
0.878670376,1
0.878571868,1
0.878475562,1
0.878446317,1
0.878417869,1
0.878389415,1
0.878360955,1
0.878315478,1
0.878304019,1
0.878275542,1
0.878226356,1
0.878155225,1
0.878093897,1
0.878064638,1
0.878035204,1
0.877991563,1
0.877954718,1
0.877919469,1
0.877856466,1
