animal_id,birth_year,age,status,cap_year
270-2008-1-018,2008,9.5,Alive-Cuddy,2017
270-2008-1-018,2008,10.5,Captured,2018
270-2008-1-019,2008,0.5,Captured,2008
270-2008-1-019,2008,1.5,Captured,2009
270-2008-1-019,2008,2.5,Captured,2010
270-2008-1-019,2008,3.5,Alive-Cuddy,2011
270-2008-1-019,2008,4.5,Alive-Cuddy,2012
270-2008-1-019,2008,5.5,Alive-Cuddy,2013
270-2008-1-019,2008,6.5,Harvested,2014
270-2008-1-020,2008,0.5,Captured,2008
270-2008-1-022,2008,0.5,Captured,2008
270-2008-1-022,2008,1.5,Captured,2009
270-2008-1-022,2008,2.5,Alive-Cuddy,2010
270-2008-1-022,2008,3.5,Captured,2011
270-2008-1-022,2008,4.5,Captured,2012
270-2008-1-022,2008,5.5,Captured,2013
270-2008-1-022,2008,6.5,Captured,2014
270-2008-1-022,2008,7.5,Captured,2015
270-2008-1-022,2008,8.5,Captured,2016
270-2008-1-025,2008,0.5,Captured,2008
270-2008-1-027,2008,0.5,Captured,2008
270-2008-1-028,2008,0.5,Captured,2008
270-2008-1-028,2008,1.5,Alive-Cuddy,2009
270-2008-1-028,2008,2.5,Captured,2010
270-2008-1-028,2008,3.5,Captured,2011
270-2008-1-028,2008,4.5,Captured,2012
270-2008-1-028,2008,5.5,Alive-Cuddy,2013
270-2008-1-028,2008,6.5,Alive-Cuddy,2014
270-2009-1-002,2009,0.5,Captured,2009
270-2009-1-002,2009,1.5,Captured,2010
270-2009-1-002,2009,2.5,Captured,2011
270-2009-1-002,2009,3.5,Captured,2012
270-2009-1-002,2009,4.5,Alive-Cuddy,2013
270-2009-1-002,2009,5.5,Captured,2014
270-2009-1-002,2009,6.5,Captured,2015
270-2009-1-002,2009,7.5,Captured,2016
270-2009-1-002,2009,8.5,Captured,2017
270-2009-1-002,2009,9.5,Alive-Cuddy,2018
270-2009-1-005,2009,0.5,Captured,2009
270-2009-1-008,2009,0.5,Captured,2009
270-2009-1-009,2009,0.5,Captured,2009
270-2009-1-009,2009,1.5,Captured,2010
270-2009-1-009,2009,2.5,Captured,2011
270-2009-1-009,2009,3.5,Captured,2012
270-2009-1-009,2009,4.5,Captured,2013
270-2009-1-009,2009,5.5,Captured,2014
270-2009-1-009,2009,6.5,Captured,2015
270-2009-1-009,2009,7.5,Alive-Cuddy,2016
270-2009-1-009,2009,8.5,Captured,2017
270-2009-1-009,2009,9.5,Alive-Cuddy,2018
270-2009-1-009,2009,10.5,Captured,2019
270-2009-1-009,2009,11.5,Captured,2020
270-2009-1-010,2009,0.5,Captured,2009
270-2009-1-010,2009,1.5,Captured,2010
270-2009-1-010,2009,2.5,Captured,2011
270-2009-1-010,2009,3.5,Captured,2012
270-2009-1-010,2009,4.5,Captured,2013
270-2009-1-010,2009,5.5,Harvested,2014
270-2009-1-011,2009,0.5,Captured,2009
270-2009-1-011,2009,1.5,Captured,2010
270-2009-1-011,2009,2.5,Captured,2011
270-2009-1-011,2009,3.5,Captured,2012
270-2009-1-011,2009,4.5,Captured,2013
270-2009-1-011,2009,5.5,Captured,2014
270-2009-1-011,2009,6.5,Harvested,2015
270-2009-1-012,2009,0.5,Captured,2009
270-2009-1-012,2009,1.5,Alive-Cuddy,2010
270-2009-1-012,2009,2.5,Captured,2011
270-2009-1-012,2009,3.5,Captured,2012
270-2009-1-012,2009,4.5,Captured,2013
270-2009-1-012,2009,5.5,Captured,2014
270-2009-1-012,2009,6.5,Captured,2015
270-2009-1-012,2009,7.5,Captured,2016
270-2009-1-012,2009,8.5,Captured,2017
270-2009-1-013,2009,0.5,Captured,2009
270-2009-1-013,2009,1.5,Captured,2010
270-2009-1-020,2009,0.5,Captured,2009
270-2009-1-020,2009,1.5,Captured,2010
270-2009-1-020,2009,2.5,Captured,2011
270-2009-1-020,2009,3.5,Captured,2012
270-2009-1-020,2009,4.5,Captured,2013
270-2009-1-020,2009,5.5,Captured,2014
270-2009-1-020,2009,6.5,Captured,2015
270-2009-1-020,2009,7.5,Nat Mortality,2016
270-2009-1-021,2009,0.5,Captured,2009
270-2009-1-021,2009,1.5,Captured,2010
270-2009-1-021,2009,2.5,Captured,2011
270-2009-1-021,2009,3.5,Captured,2012
270-2009-1-021,2009,4.5,Alive-Cuddy,2013
270-2009-1-021,2009,5.5,Captured,2014
270-2009-1-021,2009,6.5,Alive-Cuddy,2015
270-2009-1-021,2009,7.5,Alive-Cuddy,2016
270-2009-1-022,2009,0.5,Captured,2009
270-2009-1-023,2009,0.5,Captured,2009
270-2009-1-023,2009,1.5,Captured,2010
270-2009-1-023,2009,2.5,Captured,2011
270-2009-1-023,2009,3.5,Captured,2012
270-2009-1-023,2009,4.5,Captured,2013
270-2009-1-023,2009,5.5,Captured,2014
270-2009-1-023,2009,6.5,Captured,2015
270-2009-1-023,2009,7.5,Captured,2016
270-2009-1-023,2009,8.5,Captured,2017
270-2009-1-024,2009,0.5,Captured,2009
270-2009-1-024,2009,1.5,Captured,2010
270-2009-1-024,2009,2.5,Captured,2011
270-2009-1-024,2009,3.5,Captured,2012
270-2009-1-024,2009,4.5,Captured,2013
270-2009-1-024,2009,5.5,Captured,2014
270-2009-1-024,2009,6.5,Captured,2015
270-2009-1-024,2009,7.5,Captured,2016
270-2009-1-024,2009,8.5,Captured,2017
270-2009-1-024,2009,9.5,Captured,2018
270-2009-1-024,2009,10.5,Captured,2019
270-2009-1-024,2009,11.5,Captured,2020
270-2009-1-029,2009,0.5,Captured,2009
270-2009-1-032,2009,0.5,Captured,2009
270-2009-1-033,2009,0.5,Captured,2009
270-2009-1-033,2009,1.5,Captured,2010
270-2009-1-033,2009,2.5,Captured,2011
270-2009-1-033,2009,4.5,Captured,2013
270-2009-1-038,2009,0.5,Captured,2009
270-2009-1-038,2009,1.5,Captured,2010
270-2009-1-038,2009,2.5,Captured,2011
270-2009-1-038,2009,3.5,Captured,2012
270-2009-1-038,2009,4.5,Alive-Cuddy,2013
270-2010-1-001,2010,0.5,Captured,2010
270-2010-1-001,2010,1.5,Captured,2011
270-2010-1-001,2010,2.5,Captured,2012
270-2010-1-001,2010,3.5,Captured,2013
270-2010-1-001,2010,4.5,Captured,2014
270-2010-1-001,2010,5.5,Alive-Cuddy,2015
270-2010-1-001,2010,6.5,Alive-Cuddy,2016
270-2010-1-001,2010,7.5,Captured,2017
270-2010-1-001,2010,8.5,Captured,2018
270-2010-1-001,2010,9.5,Captured,2019
270-2010-1-001,2010,10.5,Alive-Cuddy,2020
270-2010-1-001,2021,11.5,Nat Mortality,2021
270-2010-1-003,2010,0.5,Captured,2010
270-2010-1-003,2010,1.5,Captured,2011
270-2010-1-003,2010,2.5,Captured,2012
270-2010-1-003,2010,3.5,Captured,2013
270-2010-1-003,2010,4.5,Captured,2014
270-2010-1-003,2010,5.5,Captured,2015
270-2010-1-003,2010,6.5,Captured,2016
270-2010-1-003,2010,7.5,Captured,2017
270-2010-1-003,2010,8.5,Nat Mortality,2018
270-2010-1-004,2010,0.5,Captured,2010
270-2010-1-004,2010,1.5,Captured,2011
270-2010-1-004,2010,2.5,Captured,2012
270-2010-1-005,2010,0.5,Captured,2010
270-2010-1-005,2010,1.5,Captured,2011
270-2010-1-005,2010,2.5,Alive-Cuddy,2012
270-2010-1-005,2010,3.5,Captured,2013
270-2010-1-005,2010,4.5,Captured,2014
270-2010-1-005,2010,5.5,Captured,2015
270-2010-1-005,2010,6.5,Captured,2016
270-2010-1-005,2010,7.5,Captured,2017
270-2010-1-005,2010,8.5,Alive-Cuddy,2018
270-2010-1-005,2010,9.5,Captured,2019
270-2010-1-005,2010,10.5,Captured,2020
270-2010-1-006,2010,0.5,Captured,2010
270-2010-1-006,2010,1.5,Captured,2011
270-2010-1-006,2010,2.5,Captured,2012
270-2010-1-006,2010,3.5,Captured,2013
270-2010-1-006,2010,4.5,Captured,2014
270-2010-1-006,2010,5.5,Captured,2015
270-2010-1-006,2010,6.5,Captured,2016
270-2010-1-006,2010,7.5,Alive-Cuddy,2017
270-2010-1-006,2010,8.5,Captured,2018
270-2010-1-006,2010,9.5,Alive-Cuddy,2019
270-2010-1-007,2010,0.5,Captured,2010
270-2010-1-007,2010,2.5,Captured,2012
270-2010-1-007,2010,3.5,Captured,2013
270-2010-1-007,2010,4.5,Alive-Cuddy,2014
270-2010-1-007,2010,5.5,Captured,2015
270-2010-1-007,2010,6.5,Captured,2016
270-2010-1-007,2010,7.5,Captured,2017
270-2010-1-007,2010,8.5,Captured,2018
270-2010-1-007,2010,9.5,Alive-Cuddy,2019
270-2010-1-007,2010,10.5,Alive-Cuddy,2020
270-2010-1-007,2021,11.5,Captured,2021
270-2010-1-009,2010,0.5,Captured,2010
270-2010-1-009,2010,1.5,Captured,2011
270-2010-1-009,2010,2.5,Captured,2012
270-2010-1-009,2010,3.5,Captured,2013
270-2010-1-009,2010,5.5,Alive-Cuddy,2015
270-2010-1-009,2010,6.5,Alive-Cuddy,2016
270-2010-1-009,2010,7.5,Captured,2017
270-2010-1-009,2010,8.5,Captured,2018
270-2010-1-009,2010,9.5,Captured,2019
270-2010-1-009,2010,10.5,Alive-Cuddy,2020
270-2010-1-009,2021,11.5,Captured,2021
270-2010-1-010,2010,0.5,Captured,2010
270-2010-1-010,2010,1.5,Captured,2011
270-2010-1-010,2010,2.5,Captured,2012
270-2010-1-010,2010,3.5,Captured,2013
270-2010-1-010,2010,4.5,Captured,2014
270-2010-1-010,2010,5.5,Captured,2015
270-2010-1-010,2010,6.5,Alive-Cuddy,2016
270-2010-1-010,2010,7.5,Captured,2017
270-2010-1-010,2010,8.5,Captured,2018
270-2010-1-010,2010,9.5,Captured,2019
270-2010-1-010,2010,10.5,Captured,2020
270-2010-1-013,2010,0.5,Captured,2010
270-2010-1-013,2010,1.5,Captured,2011
270-2010-1-013,2010,6.5,Alive-Cuddy,2016
270-2010-1-013,2010,7.5,Alive-Cuddy,2017
270-2010-1-013,2010,8.5,Captured,2018
270-2010-1-013,2010,9.5,Harvested,2019
270-2010-1-014,2010,0.5,Captured,2010
270-2010-1-014,2010,1.5,Captured,2011
270-2010-1-014,2010,2.5,Alive-Cuddy,2012
270-2010-1-015,2010,0.5,Captured,2010
270-2010-1-019,2010,0.5,Captured,2010
270-2010-1-019,2010,1.5,Captured,2011
270-2010-1-019,2010,2.5,Captured,2012
270-2010-1-019,2010,3.5,Captured,2013
270-2010-1-019,2010,4.5,Captured,2014
270-2010-1-019,2010,5.5,Captured,2015
270-2010-1-019,2010,6.5,Alive-Cuddy,2016
270-2010-1-019,2010,7.5,Alive-Cuddy,2017
270-2010-1-019,2010,8.5,Captured,2018
270-2010-1-019,2010,9.5,Captured,2019
270-2010-1-019,2010,10.5,Captured,2020
270-2010-1-019,2021,11.5,Captured,2021
270-2010-1-019,2010,12.5,Captured,2022
270-2010-1-019,2010,12.5,Alive-Cuddy,2022
270-2010-1-020,2010,0.5,Captured,2010
270-2010-1-021,2010,0.5,Captured,2010
270-2010-1-021,2010,1.5,Alive-Cuddy,2011
270-2010-1-021,2010,2.5,Captured,2012
270-2010-1-021,2010,3.5,Captured,2013
270-2010-1-021,2010,4.5,Captured,2014
270-2010-1-021,2010,5.5,Captured,2015
270-2010-1-021,2010,6.5,Captured,2016
270-2010-1-021,2010,7.5,Captured,2017
270-2010-1-021,2010,8.5,Captured,2018
270-2010-1-021,2010,9.5,Captured,2019
270-2010-1-021,2010,10.5,Captured,2020
270-2010-1-021,2021,11.5,Captured,2021
270-2010-1-023,2010,0.5,Captured,2010
270-2010-1-023,2010,1.5,Captured,2011
270-2010-1-023,2010,6.5,Captured,2016
270-2010-1-023,2010,7.5,Captured,2017
270-2010-1-023,2010,8.5,Captured,2018
270-2010-1-023,2010,9.5,Captured,2019
270-2010-1-023,2010,10.5,Captured,2020
270-2010-1-025,2010,0.5,Captured,2010
270-2010-1-025,2010,1.5,Captured,2011
270-2010-1-025,2010,6.5,Captured,2016
270-2010-1-025,2010,7.5,Captured,2017
270-2010-1-025,2010,8.5,Captured,2018
270-2010-1-025,2010,9.5,Captured,2019
270-2010-1-027,2010,0.5,Captured,2010
270-2010-1-027,2010,1.5,Captured,2011
270-2010-1-027,2010,2.5,Captured,2012
270-2010-1-027,2010,3.5,Captured,2013
270-2010-1-027,2010,4.5,Captured,2014
270-2010-1-027,2010,5.5,Alive-Cuddy,2015
270-2010-1-027,2010,6.5,Alive-Cuddy,2016
270-2010-1-027,2010,7.5,Captured,2017
270-2010-1-027,2010,8.5,Captured,2018
270-2010-1-028,2010,0.5,Captured,2010
270-2010-1-028,2010,1.5,Captured,2011
270-2010-1-028,2010,2.5,Alive-Cuddy,2012
270-2010-1-028,2010,3.5,Captured,2013
270-2010-1-028,2010,4.5,Captured,2014
270-2010-1-028,2010,5.5,Captured,2015
270-2010-1-028,2010,6.5,Captured,2016
270-2010-1-028,2010,7.5,Captured,2017
270-2010-1-028,2010,8.5,Alive-Cuddy,2018
270-2010-1-028,2010,9.5,Captured,2019
270-2010-1-028,2010,10.5,Captured,2020
270-2010-1-035,2010,0.5,Captured,2010
270-2010-1-038,2010,0.5,Captured,2010
270-2010-1-038,2010,1.5,Captured,2011
270-2010-1-038,2010,2.5,Captured,2012
270-2010-1-038,2010,3.5,Captured,2013
270-2010-1-038,2010,4.5,Captured,2014
270-2010-1-038,2010,5.5,Captured,2015
270-2010-1-038,2010,7.5,Captured,2017
270-2010-1-038,2010,8.5,Captured,2018
270-2010-1-038,2010,9.5,Captured,2019
270-2010-1-038,2010,10.5,Captured,2020
270-2010-1-038,2021,11.5,Captured,2021
270-2010-1-038,2010,12.5,Captured,2022
270-2010-1-039,2010,0.5,Captured,2010
270-2010-1-039,2010,1.5,Captured,2011
270-2010-1-039,2010,2.5,Captured,2012
270-2010-1-039,2010,3.5,Alive-Cuddy,2013
270-2010-1-039,2010,4.5,Captured,2014
270-2010-1-039,2010,5.5,Captured,2015
270-2010-1-039,2010,6.5,Captured,2016
270-2010-1-039,2010,7.5,Captured,2017
270-2010-1-084,2010,0.5,Captured,2010
270-2010-1-086,2010,0.5,Captured,2010
270-2010-1-086,2010,1.5,Captured,2011
270-2010-1-086,2010,2.5,Captured,2012
270-2010-1-086,2010,3.5,Alive-Cuddy,2013
270-2010-1-086,2010,5.5,Alive-Cuddy,2015
270-2010-1-086,2010,6.5,Captured,2016
270-2010-1-086,2010,7.5,Captured,2017
270-2010-1-086,2010,8.5,Captured,2018
270-2010-1-086,2010,10.5,Captured,2020
270-2010-1-087,2010,0.5,Captured,2010
270-2010-1-087,2010,1.5,Alive-Cuddy,2011
270-2010-1-087,2010,6.5,Captured,2016
270-2010-1-087,2010,7.5,Captured,2017
270-2010-1-087,2010,8.5,Captured,2018
270-2010-1-087,2010,9.5,Captured,2019
270-2010-1-087,2010,10.5,Alive-Cuddy,2020
270-2010-1-088,2010,0.5,Captured,2010
270-2010-1-089,2010,0.5,Captured,2010
270-2011-0-335,2011,0.5,Captured,2011
270-2011-0-335,2011,1.5,Alive-Cuddy,2012
270-2011-0-335,2011,2.5,Alive-Cuddy,2013
270-2011-0-335,2011,3.5,Alive-Cuddy,2014
270-2011-0-335,2011,4.5,Captured,2015
270-2011-0-335,2011,5.5,Captured,2016
270-2011-0-335,2011,6.5,Captured,2017
270-2011-0-335,2011,7.5,Captured,2018
270-2011-0-335,2011,8.5,Captured,2019
270-2011-0-335,2011,9.5,Captured,2020
270-2011-0-335,2011,10.5,Alive-Cuddy,2021
