26-Jan-26,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
    DOE/BUCK RATIO,,,,,,,,,,,,,,,
    AC./ ADULT DEER,,,,,,,,,,,,,,,
    AC./ TOTAL DEER,,,,,,,,,,,,,,,
    TURKEYS,,,,,,,,,,,,,,,
    TROPHIES,,,,,,,,,,,,,,,
    QUAIL COVEYS,,,,,,,,,,,,,,,
    COYOTES,,,,,,,,,,,,,,,
    JAVELINA,,,,,,,,,,,,,,,
    HOGS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
YANA PASTURE TOTALS,,,,,,,,,,,,,,,
    ACRES,,,,,,,,,,,,,,,
    YEARLING BUCKS,,,,,,,,,,,,,,,
    MIDDLE AGED BUCKS (INCL YRLG THRU '95),,,,,,,,,,,,,,,
    MATURE BUCKS,,,,,,,,,,,,,,,
      Average: <10 pts,,,,,,,,,,,,,,,
      Average: >=10 pts,,,,,,,,,,,,,,,
      Trophy (>150 B & C): < 10 pts.,,,,,,,,,,,,,,,
      Trophy (>150 B &C): >= 10 pts.,,,,,,,,,,,,,,,
    TOTAL BUCKS,,,,,,,,,,,,,,,
    DOES,,,,,,,,,,,,,,,
    FAWNS,,,,,,,,,,,,,,,
    TOTAL DEER,,,,,,,,,,,,,,,
    % FAWN CROP,,,,,,,,,,,,,,,
    DOE/BUCK RATIO,,,,,,,,,,,,,,,
    AC./ ADULT DEER,,,,,,,,,,,,,,,
    AC./ TOTAL DEER,,,,,,,,,,,,,,,
    TURKEYS,,,,,,,,,,,,,,,
    TROPHIES,,,,,,,,,,,,,,,
    QUAIL COVEYS,,,,,,,,,,,,,,,
    COYOTES,,,,,,,,,,,,,,,
    JAVELINA,,,,,,,,,,,,,,,
    HOGS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SOUTH/ WEST BONITA TOTALS,,,,,,,,,,,,,,,
    ACRES,,,,,,,,,,,,,,,
    YEARLING BUCKS,,,,,,,,,,,,,,,
    MIDDLE AGED BUCKS (INCL YRLG THRU '95),,,,,,,,,,,,,,,
    MATURE BUCKS,,,,,,,,,,,,,,,
      Average: <10 pts,,,,,,,,,,,,,,,
      Average: >=10 pts,,,,,,,,,,,,,,,
      Trophy (>150 B & C): < 10 pts.,,,,,,,,,,,,,,,
      Trophy (>150 B &C): >= 10 pts.,,,,,,,,,,,,,,,
    TOTAL BUCKS,,,,,,,,,,,,,,,
    DOES,,,,,,,,,,,,,,,
    FAWNS,,,,,,,,,,,,,,,
    TOTAL DEER,,,,,,,,,,,,,,,
    % FAWN CROP,,,,,,,,,,,,,,,
    DOE/BUCK RATIO,,,,,,,,,,,,,,,
    AC./ ADULT DEER,,,,,,,,,,,,,,,
    AC./ TOTAL DEER,,,,,,,,,,,,,,,
    TURKEYS,,,,,,,,,,,,,,,
    TROPHIES,,,,,,,,,,,,,,,
    QUAIL COVEYS,,,,,,,,,,,,,,,
    COYOTES,,,,,,,,,,,,,,,
    JAVELINA,,,,,,,,,,,,,,,
    HOGS,,,,,,,,,,,,,,,
HEADQUARTERS TRAP: BRUSH,,,,,,,,,,,,,,,
    ACRES,,,,,,,,,,,,,,,
    YEARLING BUCKS,,,,,,,,,,,,,,,
    MIDDLE AGED BUCKS (INCL YRLG THRU '95),,,,,,,,,,,,,,,
    MATURE BUCKS,,,,,,,,,,,,,,,
      Average: <10 pts,,,,,,,,,,,,,,,
      Average: >=10 pts,,,,,,,,,,,,,,,
      Trophy (>150 B & C): < 10 pts.,,,,,,,,,,,,,,,
      Trophy (>150 B &C): >= 10 pts.,,,,,,,,,,,,,,,
    TOTAL BUCKS,,,,,,,,,,,,,,,
    DOES,,,,,,,,,,,,,,,
    FAWNS,,,,,,,,,,,,,,,
    TOTAL DEER,,,,,,,,,,,,,,,
    % FAWN CROP,,,,,,,,,,,,,,,
    DOE/BUCK RATIO,,,,,,,,,,,,,,,
    AC./ ADULT DEER,,,,,,,,,,,,,,,
    AC./ TOTAL DEER,,,,,,,,,,,,,,,
    TURKEYS,,,,,,,,,,,,,,,
    TROPHIES,,,,,,,,,,,,,,,
    QUAIL COVEYS,,,,,,,,,,,,,,,
    COYOTES,,,,,,,,,,,,,,,
    JAVELINA,,,,,,,,,,,,,,,
    HOGS,,,,,,,,,,,,,,,
HEADQUARTERS TRAP: ROOT PLOW,,,,,,,,,,,,,,,
    ACRES,,,,,,,,,,,,,,,
    YEARLING BUCKS,,,,,,,,,,,,,,,
    MIDDLE AGED BUCKS (INCL YRLG THRU '95),,,,,,,,,,,,,,,
    MATURE BUCKS,,,,,,,,,,,,,,,
      Average: <10 pts,,,,,,,,,,,,,,,
      Average: >=10 pts,,,,,,,,,,,,,,,
      Trophy (>150 B & C): < 10 pts.,,,,,,,,,,,,,,,
      Trophy (>150 B &C): >= 10 pts.,,,,,,,,,,,,,,,
    TOTAL BUCKS,,,,,,,,,,,,,,,
    DOES,,,,,,,,,,,,,,,
    FAWNS,,,,,,,,,,,,,,,
    TOTAL DEER,,,,,,,,,,,,,,,
    % FAWN CROP,,,,,,,,,,,,,,,
    DOE/BUCK RATIO,,,,,,,,,,,,,,,
    AC./ ADULT DEER,,,,,,,,,,,,,,,
    AC./ TOTAL DEER,,,,,,,,,,,,,,,
    TURKEYS,,,,,,,,,,,,,,,
    TROPHIES,,,,,,,,,,,,,,,
    QUAIL COVEYS,,,,,,,,,,,,,,,
    COYOTES,,,,,,,,,,,,,,,
    JAVELINA,,,,,,,,,,,,,,,
    HOGS,,,,,,,,,,,,,,,
