animal_id,date,year_cap,year_birth,cap_loc,rel_loc,sex,age,weight,dmp_past,B.C.Score,month
270-2011-1-269,7/15/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2011-1-295,7/21/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2011-1-300,7/25/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2011-1-318,8/3/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2011-1-321,8/3/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2011-1-322,8/3/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2011-1-333,8/12/2011,2011,2011,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2012-1-207,7/5/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2012-1-208,7/5/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2012-1-224,7/12/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2012-1-228,7/12/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2012-1-229,7/12/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2012-1-230,7/12/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2012-1-231,7/12/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2012-1-232,7/12/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2012-1-233,7/14/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2012-1-236,7/14/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2012-1-237,7/14/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2012-1-238,7/14/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2012-1-248,7/17/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2012-1-250,7/17/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2012-1-260,7/20/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2012-1-262,7/20/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2012-1-263,7/20/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2012-1-265,7/20/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2012-1-266,7/20/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2012-1-274,7/24/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2012-1-277,7/24/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2012-1-278,7/24/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2012-1-284,7/27/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2012-1-305,8/3/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2012-1-314,8/8/2012,2012,2012,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2013-1-202,7/1/2013,2013,2013,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2013-1-204,7/1/2013,2013,2013,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2013-1-205,7/1/2013,2013,2013,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2013-1-210,7/3/2013,2013,2013,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2013-1-212,7/3/2013,2013,2013,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2013-1-216,7/5/2013,2013,2013,West Yana,West Yana,Male,0.1,,DMP,NA,july
