p97.5,site
0.929146398,1
0.929057831,1
0.928969161,1
0.928880389,1
0.928791515,1
0.928702538,1
0.9286331,1
0.92858615,1
0.92855296,1
0.928490723,1
0.928420268,1
0.92839264,1
0.928365003,1
0.928336483,1
0.928255757,1
0.928155869,1
0.928055802,1
0.927955606,1
0.927855282,1
0.927754828,1
0.927661036,1
0.927603997,1
0.92751963,1
0.92747098,1
0.9274223,1
0.927379882,1
0.927327316,1
0.927278437,1
0.927228749,1
0.927177879,1
0.927098594,1
0.927042686,1
0.926986158,1
0.926900337,1
0.926794232,1
0.926723134,1
0.926694012,1
0.926664878,1
0.926635735,1
0.926590148,1
0.926534216,1
0.926485977,1
0.926498092,1
0.926429689,1
0.926316481,1
0.926252622,1
0.926195865,1
0.926139068,1
0.926082231,1
0.926033086,1
0.925995553,1
0.925959435,1
0.925930145,1
0.925900106,1
0.925869934,1
0.925806302,1
0.925768922,1
0.925731452,1
0.925693422,1
0.925634112,1
0.925565134,1
0.925515029,1
0.925451635,1
0.925387351,1
0.925347778,1
0.925274207,1
0.925199365,1
0.925180384,1
0.925133108,1
0.925038177,1
0.924943134,1
0.924874755,1
0.924828489,1
0.924790514,1
0.924752733,1
0.924706237,1
0.924642578,1
0.924609814,1
0.924591649,1
0.924517297,1
0.924484774,1
0.924451611,1
0.924333773,1
0.924219212,1
0.924174905,1
0.924173387,1
0.92417187,1
0.924170351,1
0.924167857,1
0.924080671,1
0.924007485,1
0.923911582,1
0.923876558,1
0.923841389,1
0.923757723,1
0.923671939,1
0.923585503,1
0.923481894,1
0.92341568,1
0.923331884,1
0.923248003,1
0.923162577,1
0.923076494,1
0.923064638,1
0.923054439,1
0.92300019,1
0.922908375,1
0.922850021,1
0.92283631,1
0.922822598,1
0.922808883,1
0.922794374,1
0.922779237,1
0.922764096,1
0.92274853,1
0.922688783,1
0.922641692,1
0.922637002,1
0.922564312,1
0.922489367,1
0.922408296,1
0.922340948,1
0.922266226,1
0.922191437,1
0.922130882,1
0.922054065,1
0.921969807,1
0.921893982,1
0.921819507,1
0.921744967,1
0.921726143,1
0.921661108,1
0.921551869,1
0.921446154,1
0.921370928,1
0.921296315,1
0.921254747,1
0.921216181,1
0.921189539,1
0.921133138,1
0.921067721,1
0.921002255,1
0.920936738,1
0.920871172,1
0.920904442,1
0.92094241,1
0.920909314,1
0.920872884,1
0.920833771,1
0.920778781,1
0.920764982,1
0.920715804,1
0.920666179,1
0.920647626,1
0.920623124,1
0.920592447,1
0.920590553,1
0.920575189,1
0.920557467,1
0.920539742,1
0.920520685,1
0.920490148,1
0.920438256,1
0.920410242,1
0.92033421,1
0.920282392,1
0.920266332,1
0.92027257,1
0.920257426,1
0.920196554,1
0.920232526,1
0.920268482,1
0.920273326,1
0.920276666,1
0.92025644,1
0.920246542,1
0.920209392,1
0.920211467,1
0.920135045,1
0.920097847,1
0.920060634,1
0.920023405,1
0.91998616,1
0.919948899,1
0.919910241,1
0.919938911,1
0.91987028,1
0.919838722,1
0.919858907,1
0.919821701,1
0.91987792,1
0.919822347,1
0.9197171,1
0.919765194,1
0.919711769,1
0.919657074,1
0.919601306,1
0.919545502,1
0.919488748,1
0.919431032,1
0.919375212,1
0.919406075,1
0.919423564,1
0.919471301,1
0.919505816,1
0.919540317,1
0.919574805,1
0.919608503,1
0.919635134,1
0.919627377,1
0.919610636,1
0.91959378,1
0.919575522,1
0.91955658,1
0.919537628,1
0.919518672,1
0.919499712,1
0.919480747,1
0.919461537,1
0.919431238,1
0.919400681,1
0.919366938,1
0.919327197,1
0.919287434,1
0.919247652,1
0.919244556,1
0.919246437,1
0.919205894,1
0.919141434,1
0.919076928,1
0.919012374,1
0.918949309,1
0.918884122,1
0.918835044,1
0.918825901,1
0.918801437,1
0.918761541,1
0.918720282,1
0.918679005,1
0.918663163,1
0.918684951,1
0.918702354,1
0.918685545,1
0.918689867,1
0.918731853,1
0.918756958,1
0.91873592,1
0.918730732,1
0.918708245,1
0.918652043,1
0.918649194,1
0.918677549,1
0.91870449,1
0.918732899,1
0.918739652,1
0.918713554,1
0.918686553,1
0.91867095,1
0.918654112,1
0.918670563,1
0.918687121,1
0.918741305,1
0.918777343,1
0.918750003,1
0.918689301,1
0.918671552,1
0.918680149,1
0.918698677,1
0.91872509,1
0.91874959,1
0.918748629,1
0.918797016,1
0.918846483,1
0.918896505,1
0.918927935,1
0.918898334,1
0.918923191,1
0.918949326,1
0.919027698,1
0.919057942,1
0.919067485,1
0.919060827,1
0.919070059,1
0.919092947,1
0.919101496,1
0.919076825,1
0.919052042,1
0.919099564,1
0.919099066,1
0.919135548,1
0.919137931,1
0.91910785,1
0.919077005,1
0.91906229,1
0.919101437,1
0.919058998,1
0.919029428,1
0.919019358,1
0.91899797,1
0.919017392,1
0.919020716,1
0.919028128,1
0.919034209,1
0.919093909,1
0.919159385,1
